Gene ID,Transcript ID,Chromosome,Start,Stop,Strand,Length,Exon count,Exon lengths,Relative Exon starts,GC content,Coding potential,Mean expression ,Max expression ,Max expression time-point ,Log2 fold change ,Significant Differential GENE Expression,Max JS Specificity score ,Correlation with sense ,Sense annotation,Sense annotation description,FPKM T6,FPKM T14,FPKM T20,FPKM T24,FPKM T28,FPKM T32,FPKM T36,FPKM T40,FPKM T44,FPKM T48,FPKM TT8,FPKM R,FPKM ET,FPKM LT,FPKM S
XLOC_000091,TCONS_00000099,Pf3D7_01_v3,38790,39671,+,881,1,"881,","0,",0.31,,2.11,8.51,T14,2.99,,0.24,0.15,PF3D7_0100200,rifin (RIF),0.46,8.51,4.30,2.61,1.05,0.86,0.21,0.57,0.19,0.40,4.07,5.67,2.57,2.97,1.48
XLOC_000100,TCONS_00000108,Pf3D7_01_v3,118335,120547,+,2212,1,"2212,","0,",0.23,,3.78,14.15,T6,3.85,,0.25,-0.43,PF3D7_0102600,"serine/threonine protein kinase, FIKK family (FIKK1)",14.15,1.40,0.22,0.08,0.05,0.05,0.10,1.34,6.76,6.50,10.92,4.04,0.44,0.08,11.20
XLOC_000103,TCONS_00000111,Pf3D7_01_v3,140569,142448,+,1879,1,"1879,","0,",0.22,,23.95,55.85,T48,3.45,,0.16,-0.59,PF3D7_0103200,nucleoside transporter 4 (NT4),24.61,4.19,4.56,7.62,7.47,14.23,31.35,49.74,49.99,55.85,13.86,2.91,4.15,14.58,43.96
XLOC_000106,TCONS_00000116,Pf3D7_01_v3,168977,170605,+,1628,1,"1628,","0,",0.22,,2.91,7.08,T14,3.02,,0.18,-0.71,PF3D7_0103800,actin-related protein (ARP1),2.38,7.08,6.12,4.11,2.78,3.34,2.46,1.53,1.37,0.00,0.89,2.64,4.56,10.33,2.53
XLOC_000117,TCONS_00000130,Pf3D7_01_v3,228122,229584,+,1386,2,"173,1213,","0,249,",0.23,,7.22,25.25,T44,4.71,,0.23,-0.12,PF3D7_0105500,"conserved Plasmodium protein, unknown function",12.28,1.03,0.50,0.00,0.17,0.18,1.72,17.49,25.25,1.77,19.04,1.69,0.37,0.29,67.32
XLOC_000121,TCONS_00000134,Pf3D7_01_v3,262815,264208,+,1393,1,"1393,","0,",0.18,,3.27,7.10,T28,2.40,,0.17,-0.16,PF3D7_0106200,"conserved Plasmodium protein, unknown function",0.98,0.53,2.86,3.46,7.10,6.82,3.44,3.95,4.45,0.92,1.45,2.63,1.55,6.15,3.12
XLOC_000131,TCONS_00000145,Pf3D7_01_v3,299514,300155,+,641,1,"641,","0,",0.24,,2.48,8.96,T28,3.32,,0.24,-0.42,PF3D7_0107300,"probable protein, unknown function",0.00,0.00,0.88,2.05,8.96,5.37,5.85,1.96,1.44,0.78,0.00,2.05,15.41,31.45,3.09
XLOC_000145,TCONS_00000164,Pf3D7_01_v3,371630,373013,+,1383,1,"1383,","0,",0.19,,13.59,29.54,T44,2.90,,0.15,0.24,PF3D7_0109300,"fatty acid elongation protein, GNS1/SUR4 family, putative",14.14,3.94,3.09,6.58,11.05,17.07,26.62,25.39,29.54,5.28,6.78,5.17,9.21,20.53,40.81
XLOC_000153,TCONS_00000178,Pf3D7_01_v3,421276,422945,+,1669,1,"1669,","0,",0.20,,3.42,9.63,T28,2.86,,0.20,-0.74,PF3D7_0111000,"kinesin-8, putative",0.57,2.95,5.75,7.80,9.63,5.14,2.25,1.82,0.62,0.47,0.65,2.46,11.35,6.15,1.60
XLOC_000166,TCONS_00000194,Pf3D7_01_v3,507959,508845,+,886,1,"886,","0,",0.23,,3.34,15.01,T14,3.47,,0.24,0.73,PF3D7_0113400,"Plasmodium exported protein, unknown function",2.05,15.01,4.15,1.70,0.95,1.11,0.65,0.44,0.61,0.65,9.43,5.58,1.02,1.36,0.41
XLOC_000180,TCONS_00000210,Pf3D7_01_v3,609406,610888,+,1482,1,"1482,","0,",0.33,,0.71,2.19,T40,1.42,,0.23,-0.56,PF3D7_0115700,"erythrocyte membrane protein 1, PfEMP1 (VAR)",0.72,0.29,0.19,0.20,0.46,0.75,1.08,2.19,1.35,0.27,0.31,1.09,3.19,6.30,5.03
XLOC_000182,TCONS_00000212,Pf3D7_01_v3,32968,35009,-,2041,1,"2041,","0,",0.35,,2.64,5.82,T40,1.54,,0.17,0.28,PF3D7_0100100,"erythrocyte membrane protein 1, PfEMP1 (VAR)",2.54,1.34,1.51,1.80,1.36,1.61,3.35,5.82,3.41,3.59,2.72,4.86,8.62,13.24,34.16
XLOC_000185,TCONS_00000215,Pf3D7_01_v3,50524,51941,-,1417,1,"1417,","0,",0.28,,3.56,8.64,T20,2.25,,0.18,0.60,PF3D7_0100400,rifin (RIF),3.23,5.09,8.64,7.84,4.35,1.48,1.23,1.50,2.91,1.02,1.82,6.91,8.96,6.45,1.95
XLOC_000198,TCONS_00000228,Pf3D7_01_v3,94868,96032,-,1164,1,"1164,","0,",0.27,,9.09,68.54,TT8,5.79,YES,0.29,-0.27,PF3D7_0102100,"stevor, pseudogene",10.87,10.58,3.70,0.79,0.42,0.32,0.26,0.36,1.34,2.83,68.54,7.06,1.02,0.76,0.61
XLOC_000210,TCONS_00000254,Pf3D7_01_v3,175812,176377,-,565,1,"565,","0,",0.25,,2.94,9.58,T44,3.01,,0.21,0.61,PF3D7_0104000,thrombospondin-related sporozoite protein (TRSP),1.97,0.95,0.32,0.32,0.42,1.52,3.44,5.42,9.58,2.57,5.81,1.35,0.86,5.66,30.14
XLOC_000211,TCONS_00000255,Pf3D7_01_v3,179611,182140,-,2529,1,"2529,","0,",0.20,,8.87,33.80,T6,4.45,YES,0.20,0.45,PF3D7_0104100,"conserved Plasmodium membrane protein, unknown function",33.80,1.13,1.63,4.97,7.64,3.29,4.42,4.32,8.80,0.59,26.97,8.41,11.12,6.09,15.20
XLOC_000216,TCONS_00000261,Pf3D7_01_v3,215789,217756,-,1967,1,"1967,","0,",0.25,,3.71,11.52,TT8,2.32,,0.19,0.17,PF3D7_0104800,novel putative transporter 1 (NPT1),6.16,4.58,1.97,2.96,1.51,1.60,2.07,2.16,2.71,3.62,11.52,4.38,3.32,2.23,4.27
XLOC_000232,TCONS_00000285,Pf3D7_01_v3,302848,303996,-,1148,1,"1148,","0,",0.20,,14.66,43.67,TT8,3.27,,0.16,-0.48,PF3D7_0107400,"conserved Plasmodium protein, unknown function",20.28,26.10,17.17,10.68,11.16,5.56,5.79,6.29,10.94,3.63,43.67,29.97,13.54,3.05,8.91
