circRNA_ID,Chromosome,Start,Stop,Supporting reads,Strand,Unique Supporting reads,Best quality of anchor A,Best quality of anchor B,Samples,Sample counts,Edits,Anchor overlap,Breakpoints,Length (genomic distance),Associated annotation             (if applicable),Correlation with linear counterpart,Annotation description
bowtie_circ_004828,Pf3D7_09_v3,913503,913614,216,+,123,40,40,"ER,LRET,MTLT,S3,T12+16,T20,T24,T28,T32,T36,T4+8,T40,T44,T48,TT4","12,12,22,6,8,16,22,45,19,32,4,9,5,2,2",0,0,1,111,PF3D7_0922500,,phosphoglycerate kinase (PGK)
bowtie_circ_000213,Pf3D7_11_v3,222005,222116,78,-,65,40,40,"ER,MTLT,S3,T24,T28,T32,T36,T4+8,T40,T44,T48","2,3,2,2,1,2,16,3,5,31,11",0,0,1,111,PF3D7_1105000,,histone H4 (H4)
bowtie_circ_004382,Pf3D7_09_v3,421099,421330,71,-,56,40,40,"ER,LRET,MTLT,S3,T12+16,T20,T24,T28,T32,T36,T40,T44,TT4","8,2,1,3,16,17,1,1,5,3,3,3,8",0,0,1,231,PF3D7_0909300,0.67,apoptosis-related protein (ARP)
bowtie_circ_000102,Pf3D7_14_v3,323890,324002,53,+,51,40,40,"ER,LRET,MTLT,S3,T12+16,T20,T24,T28,T32,T36,T40,T44,TT4","3,6,5,1,3,4,11,6,6,5,1,1,1",2,0,1,112,PF3D7_1408600,,"40S ribosomal protein S8e, putative"
bowtie_circ_003185,Pf3D7_14_v3,1103004,1103104,72,+,51,40,40,"ER,LRET,S3,T12+16,T20,T24,T28,T32,T36,T4+8,T40,T44,T48,TT4","3,5,5,4,1,5,1,4,3,15,6,11,3,6",1,0,1,100,PF3D7_1428200,,"metabolite/drug transporter, putative"
bowtie_circ_003903,Pf3D7_11_v3,222005,222107,62,-,51,40,40,"ER,LRET,S3,T12+16,T28,T32,T36,T40,T44,T48","1,1,1,1,1,5,15,9,22,6",0,0,1,102,PF3D7_1105000,,histone H4 (H4)
bowtie_circ_004318,Pf3D7_03_v3,315293,315518,63,-,51,40,40,"ER,LRET,MTLT,S3,T12+16,T20,T24,T28,T32,T36,T40,T44,T48,TT4","8,7,5,1,7,7,2,6,12,2,2,1,1,2",0,0,1,225,PF3D7_0307200,,"60S ribosomal protein L7, putative"
bowtie_circ_001046,Pf3D7_08_v3,687808,687919,53,+,48,40,40,"ER,LRET,T12+16,T20,T24,T28,T32,T36,T40,T44,T48,TT4","11,4,4,2,1,8,4,7,4,4,2,2",0,0,1,111,PF3D7_0814200,,DNA/RNA-binding protein Alba 1 (ALBA1)
bowtie_circ_000784,Pf3D7_09_v3,270975,271110,58,-,46,40,40,"MTLT,S3,T12+16,T36,T4+8,T40,T44,T48","1,11,1,4,7,12,9,13",0,0,1,135,PF3D7_0905400,,high molecular weight rhoptry protein 3 (RhopH3)
bowtie_circ_004703,Pf3D7_10_v3,812336,812553,59,+,44,40,40,"ER,S3,T12+16,T20,T24,T4+8,T40,T44,T48,TT4","1,3,1,1,1,5,3,11,9,24",0,0,1,217,PF3D7_1020000,,"large subunit rRNA processing RRM protein, putative"
