Gene ID,Transcript ID,Chromosome,Start,Stop,Strand,Length,Exon count,Exon lengths,Relative Exon starts,GC content,Coding potential,Mean expression ,Max expression ,Max expression time-point ,Log2 fold change ,Significant Differential GENE Expression,Max JS Specificity score ,More correlated neighbor                 ,More correlated neighbor            description       ,Correlation with more correlated neighbor                ,Orientation with respect to more correlated neighbor             ,Distance from more correlated neighbor              ,Less correlated neighbor     ,Less correlated neighbor description       ,Correlation with less correlated neighbor ,Distance from less correlated neighbor,FPKM T20,FPKM T24,FPKM T28,FPKM T32,FPKM T36,FPKM T40,FPKM T44,FPKM T48,FPKM TT8,FPKM R,FPKM ET,FPKM LT,FPKM S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_000181,TCONS_00000211,Pf3D7_01_v3,911,7642,-,6731,1,"6731,","0,",0.32,,5.05,32.69,T48,5.07,YES,0.31,PF3D7_0100100,"erythrocyte membrane protein 1, PfEMP1 (VAR)",0.68,divergent,21867,NA,NA,NA,NA,0.24,0.06,0.01,0.01,0.07,1.27,4.26,32.69,5.86,1.59,0.15,0.08,4.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_000199,TCONS_00000229,Pf3D7_01_v3,96484,96952,-,468,1,"468,","0,",0.11,,11.16,83.57,TT8,6.40,YES,0.30,PF3D7_0102200,ring-infected erythrocyte surface antigen (RESA),0.86,divergent,1866,PF3D7_0102100,"stevor, pseudogene",-0.394846949,585,0.79,0.00,0.55,0.00,0.00,0.77,6.36,2.46,83.57,2.56,0.00,0.00,3.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_000200,TCONS_00000230,Pf3D7_01_v3,102683,103619,-,936,1,"936,","0,",0.13,,4.41,16.05,T32,4.09,YES,0.20,PF3D7_0102300,"Plasmodium exported protein, unknown function",0.81,divergent,1084,PF3D7_0102200,ring-infected erythrocyte surface antigen (RESA),-0.502850527,401,0.95,1.63,4.53,16.05,5.63,4.20,5.34,0.00,3.38,0.49,0.49,5.90,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_000204,TCONS_00000239,Pf3D7_01_v3,122153,122792,-,344,2,"327,17,","0,622,",0.14,,17.27,75.02,TT8,6.25,YES,0.21,PF3D7_0102600,"serine/threonine protein kinase, FIKK family (FIKK1)",0.63,tandem,904,PF3D7_0102700,"merozoite-associated tryptophan-rich antigen, putative",0.424530074,1724,45.37,18.23,6.79,6.34,3.06,0.00,2.85,0.00,75.02,11.87,0.00,1.42,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_000204,TCONS_00000240,Pf3D7_01_v3,122535,123203,-,668,1,"668,","0,",0.13,,5.81,37.81,TT8,5.28,YES,0.28,PF3D7_0102600,"serine/threonine protein kinase, FIKK family (FIKK1)",0.63,tandem,904,PF3D7_0102700,"merozoite-associated tryptophan-rich antigen, putative",0.424530074,1724,3.71,2.11,1.38,1.11,0.27,0.00,1.50,0.00,37.81,6.96,1.88,3.16,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_000102,TCONS_00000110,Pf3D7_01_v3,139489,140370,+,881,1,"881,","0,",0.16,,9.50,20.02,T32,3.03,YES,0.16,PF3D7_0103200,nucleoside transporter 4 (NT4),0.57,convergent,291,PF3D7_0103100,"conserved Plasmodium protein, unknown function",0.38377309,232,5.96,7.57,11.59,20.02,19.31,15.19,7.60,1.57,6.02,1.54,7.93,21.80,12.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_000213,TCONS_00000258,Pf3D7_01_v3,185377,186152,-,775,1,"775,","0,",0.11,,221.20,889.99,T6,4.81,YES,0.16,PF3D7_0104200,"conserved Plasmodium protein, unknown function",0.99,tandem,1155,NA,NA,NA,NA,32.15,57.27,109.95,62.72,72.33,93.66,253.12,203.42,627.94,78.93,194.59,250.93,312.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_000214,TCONS_00000259,Pf3D7_01_v3,186510,187230,-,720,1,"720,","0,",0.12,,20.74,102.89,T6,6.70,YES,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.36,0.71,0.47,0.00,0.00,2.41,34.02,6.33,76.10,0.59,0.56,0.47,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_000110,TCONS_00000120,Pf3D7_01_v3,188300,189149,+,849,1,"849,","0,",0.12,,25.72,109.45,T6,6.36,YES,0.22,NA,NA,NA,NA,NA,PF3D7_0104300,"ubiquitin carboxyl-terminal hydrolase 1, putative (UBP1)",0.874636093,1119,0.76,2.65,3.38,1.44,0.34,3.50,47.07,30.74,79.76,11.97,1.25,0.67,8.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_000223,TCONS_00000273,Pf3D7_01_v3,234578,235193,-,615,1,"615,","0,",0.13,,16.92,42.59,T20,3.62,,0.16,PF3D7_0105600,"conserved Plasmodium protein, unknown function",0.84,tandem,176,PF3D7_0105700,asparagine-rich antigen Pfa35-2,-0.558640235,3472,42.59,24.69,19.85,12.86,16.59,10.46,11.44,2.54,3.38,24.35,9.61,10.20,4.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
