lncRNA_ID,chromosome,start,end,strand,length,GC content (%),subtype,evidence ranking,overlapping feature,antisense feature,contains a structural RNA,contains intron,contains multiple introns,putatively essential (no piggybac insertions),overlap PlasmoDB listed lncRNAs,PlasmoDB listed name,intersect Broadbent et al. annotation,intersect Chappell et al. predicted ncRNAs,intersect Siegel et al. natural antisense transcripts,intersect Yang et al. predicted transcripts,intersect Liao et al. annotation,novel
Pf3D7lncRNA_0001,Pf3D7_01_v3,34769,35559,-,791,9.48,As-Intron,1,,PF3D7_0100100 ,NO,NO,NO,NO,NO,,YES,NO,NO,NO,NO,NO
Pf3D7lncRNA_0002,Pf3D7_01_v3,35650,37480,+,1831,25.29,Sense,1,PF3D7_0100100,LncRNA,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0003,Pf3D7_01_v3,36755,37873,-,1119,16.98,As-G,3,,PF3D7_0100100 ,NO,NO,NO,NO,NO,,NO,NO,YES,NO,NO,NO
Pf3D7lncRNA_0004,Pf3D7_01_v3,37714,38533,+,820,11.22,As-lncRNA,3,,LncRNA,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0005,Pf3D7_01_v3,50264,52333,-,2070,23.14,As-G,4,,PF3D7_0100400 ,NO,NO,NO,NO,NO,,YES,YES,YES,NO,NO,NO
Pf3D7lncRNA_0006,Pf3D7_01_v3,52958,55243,+,2286,23.75,As-G,2,,PF3D7_0100600,NO,NO,NO,NO,NO,,NO,YES,NO,NO,NO,NO
Pf3D7lncRNA_0007,Pf3D7_01_v3,79385,80652,-,1268,17.35,As-G,2,,PF3D7_0101500,NO,NO,NO,NO,NO,,NO,YES,NO,NO,NO,NO
Pf3D7lncRNA_0008,Pf3D7_01_v3,80752,81178,+,427,13.58,Intergenic,7,,,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0009,Pf3D7_01_v3,96107,96323,-,217,11.98,Intergenic,9,,,NO,NO,NO,YES,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0010,Pf3D7_01_v3,97137,97571,-,435,8.74,Intergenic,2,,,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0011,Pf3D7_01_v3,102527,103846,-,1320,12.73,As-UTR,2,,UTR (PF3D7_0102200),NO,NO,NO,NO,NO,,YES,NO,NO,NO,NO,NO
Pf3D7lncRNA_0012,Pf3D7_01_v3,110148,111382,+,1235,15.38,As-G,4,,PF3D7_0102500,NO,NO,NO,NO,NO,,NO,NO,YES,NO,NO,NO
Pf3D7lncRNA_0013,Pf3D7_01_v3,111723,112009,+,287,30.31,As-G,7,,PF3D7_0102500,NO,NO,NO,YES,NO,,NO,NO,YES,NO,NO,NO
Pf3D7lncRNA_0014,Pf3D7_01_v3,118481,118720,+,240,14.58,As-UTR,9,,UTR (PF3D7_0102600),NO,NO,NO,NO,NO,,YES,YES,NO,NO,NO,NO
Pf3D7lncRNA_0015,Pf3D7_01_v3,122955,123291,+,337,13.35,Intergenic,8,,,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
