Transcript_ID,Chrm,Start,End,GC_percent,,lengths,Strand,OtherInfo,N_Sum,C_Sum,log2FC(sum_N/sum_C),estimated_Location,Cluster,Stage
TCONS_00000004,Pf3D7_01_v3,52374,53613,0.1306452,Pf3D7_01_v3:52374-53613,1240,+, oId CUFF.7.1; transcript_id TCONS_00000004; tss_id TSS3;gene_id XLOC_000003; ExonInfo:52374:53613; total_nExon:1,284,259,0.13,Both,8,S/G
TCONS_00000008,Pf3D7_01_v3,81304,82666,0.275862069,Pf3D7_01_v3:81304-82666,1363,+, oId CUFF.15.1; transcript_id TCONS_00000008; tss_id TSS7;gene_id XLOC_000007; ExonInfo:81304:82666; total_nExon:1,576,401,0.52,N,1,R
TCONS_00000012,Pf3D7_01_v3,123693,124173,0.083160083,Pf3D7_01_v3:123693-124173,481,+, oId CUFF.26.1; transcript_id TCONS_00000012; tss_id TSS11;gene_id XLOC_000011; ExonInfo:123693:124173; total_nExon:1,221,276,-0.32,Both,2,R
TCONS_00000013,Pf3D7_01_v3,171700,172363,0.1746988,Pf3D7_01_v3:171700-172363,664,+, oId CUFF.31.1; transcript_id TCONS_00000013; tss_id TSS12;gene_id XLOC_000012; ExonInfo:171700:172062|172156:172363; total_nExon:2,1503,2153,-0.52,C,10,LG
TCONS_00000014,Pf3D7_01_v3,177141,177542,0.1243781,Pf3D7_01_v3:177141-177542,402,+, oId CUFF.32.1; transcript_id TCONS_00000014; tss_id TSS13;gene_id XLOC_000013; ExonInfo:177141:177542; total_nExon:1,196,393,-1,C,7,S
TCONS_00000015,Pf3D7_01_v3,188440,189625,0.08937605,Pf3D7_01_v3:188440-189625,1186,+, oId CUFF.35.1; transcript_id TCONS_00000015; tss_id TSS14;gene_id XLOC_000014; ExonInfo:188440:189625; total_nExon:1,1099,971,0.18,Both,7,S
TCONS_00000016,Pf3D7_01_v3,213891,214505,0.16097561,Pf3D7_01_v3:213891-214505,615,+, oId CUFF.37.1; transcript_id TCONS_00000016; tss_id TSS15;gene_id XLOC_000015; ExonInfo:213891:214505; total_nExon:1,4487,2777,0.69,N,6,S
TCONS_00000018,Pf3D7_01_v3,235186,236383,0.1669449,Pf3D7_01_v3:235186-236383,1198,+, oId CUFF.45.1; transcript_id TCONS_00000018; tss_id TSS17;gene_id XLOC_000017; ExonInfo:235186:236383; total_nExon:1,474,303,0.64,N,8,S/G
TCONS_00000019,Pf3D7_01_v3,236822,238198,0.1466957,Pf3D7_01_v3:236822-238198,1377,+, oId CUFF.46.1; transcript_id TCONS_00000019; tss_id TSS18;gene_id XLOC_000018; ExonInfo:236822:237329|237755:237822|238078:238198; total_nExon:3,433,443,-0.03,Both,10,LG
TCONS_00000020,Pf3D7_01_v3,270111,271481,0.112326769,Pf3D7_01_v3:270111-271481,1371,+, oId CUFF.49.1; transcript_id TCONS_00000020; tss_id TSS19;gene_id XLOC_000019; ExonInfo:270111:271481; total_nExon:1,609,395,0.62,N,4,T
TCONS_00000025,Pf3D7_01_v3,311342,313632,0.118288957,Pf3D7_01_v3:311342-313632,2291,+, oId CUFF.57.1; transcript_id TCONS_00000025; tss_id TSS23;gene_id XLOC_000023; ExonInfo:311342:313632; total_nExon:1,670,536,0.32,Both,3,R/T
TCONS_00000026,Pf3D7_01_v3,334095,337003,0.118253695,Pf3D7_01_v3:334095-337003,2909,+, oId CUFF.61.1; transcript_id TCONS_00000026; tss_id TSS24;gene_id XLOC_000024; ExonInfo:334095:337003; total_nExon:1,10609,13379,-0.33,Both,5,T
TCONS_00000028,Pf3D7_01_v3,396051,396470,0.116666667,Pf3D7_01_v3:396051-396470,420,+, oId CUFF.67.1; transcript_id TCONS_00000028; tss_id TSS26;gene_id XLOC_000026; ExonInfo:396051:396470; total_nExon:1,725,725,0,Both,5,T
TCONS_00000030,Pf3D7_01_v3,404451,404741,0.103092784,Pf3D7_01_v3:404451-404741,291,+, oId CUFF.69.1; transcript_id TCONS_00000030; tss_id TSS28;gene_id XLOC_000028; ExonInfo:404451:404741; total_nExon:1,637,418,0.61,N,4,T
TCONS_00000035,Pf3D7_01_v3,428612,429653,0.1583493,Pf3D7_01_v3:428612-429653,1042,+, oId CUFF.75.1; transcript_id TCONS_00000035; tss_id TSS32;gene_id XLOC_000031; ExonInfo:428612:428990|429096:429468|429624:429653; total_nExon:3| oId CUFF.75.2; transcript_id TCONS_00000036; tss_id TSS32;gene_id XLOC_000031; ExonInfo:428700:428868|429096:429468|429624:429653; total_nExon:3,1693,1827,-0.11,Both,8,S/G
TCONS_00000037,Pf3D7_01_v3,453456,454265,0.1691358,Pf3D7_01_v3:453456-454265,810,+, oId CUFF.81.1; transcript_id TCONS_00000037; tss_id TSS33;gene_id XLOC_000032; ExonInfo:453456:454265; total_nExon:1,225,162,0.47,Both,10,LG
TCONS_00000039,Pf3D7_01_v3,472059,473263,0.1609959,Pf3D7_01_v3:472059-473263,1205,+, oId CUFF.86.1; transcript_id TCONS_00000039; tss_id TSS35;gene_id XLOC_000034; ExonInfo:472059:473263; total_nExon:1,1185,602,0.98,N,9,LG
TCONS_00000041,Pf3D7_01_v3,483442,485586,0.1379953,Pf3D7_01_v3:483442-485586,2145,+, oId CUFF.90.1; transcript_id TCONS_00000041; tss_id TSS37;gene_id XLOC_000036; ExonInfo:483442:485586; total_nExon:1,858,427,1.01,N,9,LG
